,0
"Preventive dental care in the 12 months before pregnancy among women with a recent live birth, Overall, Crude Prevalence",-0.0032405566031836397
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Female, Crude Prevalence",-0.0028722047456055215
"Infants who were breastfed at 12 months, Overall, Crude Prevalence",-0.002871431348878184
"Met aerobic physical activity guideline for substantial health benefits, adults, Age 45-64, Crude Prevalence",-0.0028447047418612183
"Met aerobic physical activity guideline for substantial health benefits, adults, Female, Crude Prevalence",-0.0027873677156829125
"Met aerobic physical activity guideline for substantial health benefits, adults, Age >=65, Crude Prevalence",-0.002779699346393798
"Preventive dental care in the 12 months before pregnancy among women with a recent live birth, White, non-Hispanic, Crude Prevalence",-0.0027654140274526702
"Met aerobic physical activity guideline for substantial health benefits, adults, Female, Age-adjusted Prevalence",-0.0027388510978580667
"Met aerobic physical activity guideline for substantial health benefits, adults, Overall, Crude Prevalence",-0.002663081702483566
"Life expectancy at birth, Male, Number",-0.002645425998056808
"Met aerobic physical activity guideline for substantial health benefits, adults, Overall, Age-adjusted Prevalence",-0.002637467816847016
"Met aerobic physical activity guideline for substantial health benefits, adults, White, non-Hispanic, Crude Prevalence",-0.00253794944868186
"Life expectancy at birth, Overall, Number",-0.002535577196265723
"Met aerobic physical activity guideline for substantial health benefits, adults, White, non-Hispanic, Age-adjusted Prevalence",-0.0024946555446580124
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Age >=65, Crude Prevalence",-0.002471673845402121
"Life expectancy at birth, Female, Number",-0.0024417025205029845
"Infants who were exclusively breastfed through 6 months, Overall, Crude Prevalence",-0.002441415217197719
"Met aerobic physical activity guideline for substantial health benefits, adults, Male, Crude Prevalence",-0.00241484892275597
"Met aerobic physical activity guideline for substantial health benefits, adults, Male, Age-adjusted Prevalence",-0.002411226756359139
"Average mentally unhealthy days among adults, Age 45-64, Crude Mean",-0.002290894160586992
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Overall, Crude Prevalence",-0.0022074940273526843
"Preventive dental care in the 12 months before pregnancy among women with a recent live birth, Hispanic, Crude Prevalence",-0.0021918555954319897
"Met aerobic physical activity guideline for substantial health benefits, adults, Age 18-44, Crude Prevalence",-0.002125834117417396
"Average mentally unhealthy days among adults, White, non-Hispanic, Crude Mean",-0.0020029825460471935
"Binge drinking prevalence among adults, Female, Crude Prevalence",-0.0019811814840149013
"Binge drinking prevalence among adults, Overall, Crude Prevalence",-0.001934268157862378
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Female, Age-adjusted Prevalence",-0.0018796117115557284
"Met aerobic physical activity guideline for substantial health benefits, adults, Black, non-Hispanic, Age-adjusted Prevalence",-0.001857490896635039
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Age 18-44, Crude Prevalence",-0.0018308887733860667
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Female, Age-adjusted Prevalence",-0.0018305885184912382
"Health insurance coverage in the month before pregnancy among women with a recent live birth, Hispanic, Crude Prevalence",-0.001823823745386038
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, Age 45-64, Crude Prevalence",-0.0018207501603686633
"Binge drinking prevalence among adults, Female, Age-adjusted Prevalence",-0.0018027459399317582
"Influenza vaccination among adults, Age 18-44, Crude Prevalence",-0.0017721186504724665
"Postpartum checkup among women with a recent live birth, White, non-Hispanic, Crude Prevalence",-0.0017457266313800847
"Average mentally unhealthy days among adults, White, non-Hispanic, Age-adjusted Mean",-0.0017413327114910878
"Binge drinking prevalence among adults, Overall, Age-adjusted Prevalence",-0.0017386356595909503
"Binge drinking prevalence among adults, Age 18-44, Crude Prevalence",-0.0017205829948640614
"Average mentally unhealthy days among adults, Male, Crude Mean",-0.0017049552192129995
"Average mentally unhealthy days among adults, Overall, Age-adjusted Mean",-0.001704334607284362
"Health insurance coverage after pregnancy among women with a recent live birth, Hispanic, Crude Prevalence",-0.0017037901131304511
"Met aerobic physical activity guideline for substantial health benefits, adults, Black, non-Hispanic, Crude Prevalence",-0.0016890054351541344
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, Overall, Age-adjusted Prevalence",-0.0016873927087320295
"Pneumococcal vaccination among adults aged 18–64 years who are at increased risk, White, non-Hispanic, Age-adjusted Prevalence",-0.0016744339777834641
"Influenza vaccination among adults 18–64 who are at increased risk, Female, Age-adjusted Prevalence",-0.001670302829199189
"Consumed fruit less than one time daily among adults, Asian, non-Hispanic, Age-adjusted Prevalence",-0.0016665257316701456
"Influenza vaccination among adults 18–64 who are at increased risk, Age 18-44, Crude Prevalence",-0.0016506002112907673
"Influenza vaccination among adults 18–64 who are at increased risk, Overall, Age-adjusted Prevalence",-0.0016449373404484426
"Average mentally unhealthy days among adults, Overall, Crude Mean",-0.0016441647050250907
"Postpartum checkup among women with a recent live birth, Hispanic, Crude Prevalence",-0.0016101628941031384
"Health insurance coverage in the month before pregnancy among women with a recent live birth, White, non-Hispanic, Crude Prevalence",-0.0016046164463711567
"Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis, White, non-Hispanic, Crude Prevalence",-0.0015944528492689684
"High school completion among adults aged 18-24, White, non-Hispanic, Crude Prevalence",-0.0015867193108317491
"Average mentally unhealthy days among adults, Male, Age-adjusted Mean",-0.001580744794551352
"Average mentally unhealthy days among adults, Age >=65, Crude Mean",-0.0015500574930147684
